type_id,start_station_id,dest_station_id,price_start,price_dest,volume_remain_start,volume_remain_dest,supply_start,supply_dest,sell_price_low_dest,sell_price_avg_dest,sell_volume_avg_dest
18,60003760,60008494,57.77999877929688,134.0,19250,14000,191057,510024,95.0,98.1429,2757447.0
18,60004588,60003760,44.0,57.77999877929688,14192,19250,14192,191057,35.32,42.1416,18324888.0
18,60004588,60008494,44.0,134.0,14192,14000,14192,510024,95.0,98.1429,2757447.0
18,60005686,60008494,54.0,134.0,14285,14000,37066,510024,95.0,98.1429,2757447.0
18,60011866,60003760,47.0,57.77999877929688,14285,19250,1014036,191057,35.32,42.1416,18324888.0
18,60011866,60008494,47.0,134.0,14285,14000,1014036,510024,95.0,98.1429,2757447.0
19,60003760,60008494,24970.0,500000.0,745,500,4169,1686,432000.0,432000.0,2478.0
19,60005686,60003760,12000.0,24970.0,184,745,184,4169,18800.0,18896.4,523.0
19,60005686,60008494,12000.0,500000.0,184,500,184,1686,432000.0,432000.0,2478.0
20,60003760,60008494,959.9000244140624,1280.0,6068,23114,4851388,37446,890.0,941.893,5074080.0
20,60004588,60008494,1020.0,1280.0,24842,23114,470958,37446,890.0,941.893,5074080.0
20,60005686,60008494,1046.0,1280.0,1258,23114,752316,37446,890.0,941.893,5074080.0
20,60011866,60008494,1005.0,1280.0,3898,23114,995100,37446,890.0,941.893,5074080.0
21,60005686,60003760,2000.0,2980.0,5599,1836,5599,3224,1111.0,1243.86,28772.0
22,60003760,60011866,6501.0,7500.0,37,312,1280,312,11990.0,11990.0,11031.0
22,60008494,60003760,5700.0,6501.0,93,37,93,1280,6776.0,6777.38,21079.0
22,60008494,60011866,5700.0,7500.0,93,312,93,312,11990.0,11990.0,11031.0
34,60008494,60003760,3.7200000286102295,4.25,951640402,152625978,4922267120,5318067660,3.84,4.00482,10597408791.0
35,60008494,60003760,18.600000381469727,21.96999931335449,11786818,4722769,1617199756,4176130244,32.12,34.4012,878681013.0
36,60003760,60008494,90.18000030517578,99.7699966430664,4728523,2362833,878553981,404251440,78.0,80.4504,245794976.0
36,60011866,60004588,83.88999938964844,96.98999786376952,103205,1491805,103205,43024362,71.46,74.1948,40346086.0
36,60011866,60008494,83.88999938964844,99.7699966430664,103205,2362833,103205,404251440,78.0,80.4504,245794976.0
37,60003760,60004588,300.79998779296875,339.0,1963534,285137,298663699,16064555,306.1,339.918,22446066.0
37,60003760,60011866,300.79998779296875,342.3999938964844,1963534,58014,298663699,13725215,435.0,449.413,8440326.0
37,60008494,60004588,300.0,339.0,474826,285137,16590342,16064555,306.1,339.918,22446066.0
37,60008494,60011866,300.0,342.3999938964844,474826,58014,16590342,13725215,435.0,449.413,8440326.0
38,60003760,60004588,1418.0,1929.0,121627,191404,22450759,1673046,1009.0,1554.62,6293018.0
38,60008494,60004588,1485.0,1929.0,14870,191404,9695446,1673046,1009.0,1554.62,6293018.0
38,60011866,60004588,1410.0,1929.0,16458,191404,3668230,1673046,1009.0,1554.62,6293018.0
39,60003760,60004588,2569.0,2947.0,967265,115327,31884275,264492,2884.0,3103.62,2159251.0
39,60003760,60008494,2569.0,2983.0,967265,145082,31884275,1435837,3100.0,3385.43,9928020.0
39,60003760,60011866,2569.0,4589.0,967265,3567,31884275,294865,2653.0,3310.93,1485238.0
39,60004588,60011866,2947.0,4589.0,115327,3567,264492,294865,2653.0,3310.93,1485238.0
39,60005686,60011866,3102.0,4589.0,19456,3567,848961,294865,2653.0,3310.93,1485238.0
39,60008494,60011866,2983.0,4589.0,145082,3567,1435837,294865,2653.0,3310.93,1485238.0
42,60011866,60003760,1698.0,2599.0,4,20,14,82,745.1,1379.32,949564.0
43,60008494,60003760,308.1000061035156,401.0,5,1803,15,1803,250.1,300.586,1145.0
43,60008494,60011866,308.1000061035156,375.5,5,10,15,10,499.7,499.7,41.0
45,60005686,60003760,237.5,1299.0,50,90,50,130,50.71,545.328,218777.0
45,60011866,60003760,63.7599983215332,1299.0,20,90,20,130,50.71,545.328,218777.0
178,60003760,60004588,5.360000133514404,7.0,215,17369,215,17369,3.06,6.02429,651007.0
178,60003760,60008494,5.360000133514404,9.56999969482422,215,100,215,220,9.35,9.35857,652956.0
178,60003760,60011866,5.360000133514404,10.0,215,225247,215,323727,3.02,9.30464,2496782.0
178,60004588,60008494,7.0,9.56999969482422,17369,100,17369,220,9.35,9.35857,652956.0
178,60004588,60011866,7.0,10.0,17369,225247,17369,323727,3.02,9.30464,2496782.0
178,60005686,60008494,7.989999771118164,9.56999969482422,99,100,478099,220,9.35,9.35857,652956.0
178,60005686,60011866,7.989999771118164,10.0,99,225247,478099,323727,3.02,9.30464,2496782.0
179,60003760,60004588,6.710000038146973,8.039999961853027,1278845,300,4304588,300,9.0,9.0,118659.0
179,60003760,60008494,6.710000038146973,119.0,1278845,25000,4304588,55000,8.0,9.67143,365006.0
179,60003760,60011866,6.710000038146973,31.799999237060547,1278845,100,4304588,696373,5.01,17.3955,1380216.0
179,60004588,60008494,8.039999961853027,119.0,300,25000,300,55000,8.0,9.67143,365006.0
179,60004588,60011866,8.039999961853027,31.799999237060547,300,100,300,696373,5.01,17.3955,1380216.0
179,60011866,60008494,31.799999237060547,119.0,100,25000,696373,55000,8.0,9.67143,365006.0
180,60003760,60004588,7.090000152587891,189900.0,100,5000,100,5000,19.5,19.5,108586.0
180,60003760,60008494,7.090000152587891,9.279999732971191,100,61667,100,3688654,9.0,9.06429,2219568.0
180,60003760,60011866,7.090000152587891,25.5,100,54186,100,54286,11.0,17.6552,607982.0
180,60005686,60004588,12.899999618530272,189900.0,161186,5000,320275,5000,19.5,19.5,108586.0
180,60005686,60011866,12.899999618530272,25.5,161186,54186,320275,54286,11.0,17.6552,607982.0
180,60008494,60004588,9.279999732971191,189900.0,61667,5000,3688654,5000,19.5,19.5,108586.0
180,60008494,60011866,9.279999732971191,25.5,61667,54186,3688654,54286,11.0,17.6552,607982.0
180,60011866,60004588,25.5,189900.0,54186,5000,54286,5000,19.5,19.5,108586.0
182,60004588,60003760,11.989999771118164,13.989999771118164,74300,100,74300,1743751,9.01,12.2207,5244653.0
182,60005686,60003760,10.0,13.989999771118164,733,100,733,1743751,9.01,12.2207,5244653.0
182,60005686,60004588,10.0,11.989999771118164,733,74300,733,74300,9.03,23.6266,45869.0
182,60008494,60003760,8.0,13.989999771118164,58922,100,58922,1743751,9.01,12.2207,5244653.0
182,60008494,60004588,8.0,11.989999771118164,58922,74300,58922,74300,9.03,23.6266,45869.0
182,60011866,60003760,4.010000228881836,13.989999771118164,98,100,98,1743751,9.01,12.2207,5244653.0
182,60011866,60004588,4.010000228881836,11.989999771118164,98,74300,98,74300,9.03,23.6266,45869.0
182,60011866,60008494,4.010000228881836,8.0,98,58922,98,58922,11.78,11.7839,635602.0
183,60003760,60008494,29.43000030517578,33.9900016784668,119694,24160,5583744,1855149,24.0,24.512,1529926.0
183,60004588,60003760,23.989999771118164,29.43000030517578,41980,119694,41980,5583744,10.01,19.4263,71017238.0
183,60004588,60008494,23.989999771118164,33.9900016784668,41980,24160,41980,1855149,24.0,24.512,1529926.0
183,60004588,60011866,23.989999771118164,27.989999771118164,41980,196197,41980,215211,16.99,16.9984,4262228.0
183,60005686,60008494,26.989999771118164,33.9900016784668,20920,24160,25320,1855149,24.0,24.512,1529926.0
183,60011866,60008494,27.989999771118164,33.9900016784668,196197,24160,215211,1855149,24.0,24.512,1529926.0
184,60003760,60008494,24.989999771118164,28.3700008392334,50400,165180,5521460,972222,3.34,24.7305,1714449.0
184,60003760,60011866,24.989999771118164,38.0,50400,9720,5521460,104545,35.0,35.6434,7104274.0
184,60004588,60011866,27.299999237060547,38.0,10500,9720,1279208,104545,35.0,35.6434,7104274.0
184,60005686,60004588,23.899999618530277,27.299999237060547,32573,10500,1754876,1279208,21.01,22.1712,4137404.0
184,60005686,60008494,23.899999618530277,28.3700008392334,32573,165180,1754876,972222,3.34,24.7305,1714449.0
184,60005686,60011866,23.899999618530277,38.0,32573,9720,1754876,104545,35.0,35.6434,7104274.0
184,60008494,60011866,28.3700008392334,38.0,165180,9720,972222,104545,35.0,35.6434,7104274.0
185,60003760,60004588,29.88999938964844,35.0,13365,56020,10101151,56020,24.98,25.2755,2440233.0
185,60003760,60011866,29.88999938964844,36.720001220703125,13365,384415,10101151,1019612,28.0,30.7734,1354418.0
185,60008494,60004588,28.0,35.0,13260,56020,58260,56020,24.98,25.2755,2440233.0
185,60008494,60011866,28.0,36.720001220703125,13260,384415,58260,1019612,28.0,30.7734,1354418.0
186,60003760,60004588,31.0,47.900001525878906,200,13300,175338,163548,57.88,57.8959,315138.0
186,60003760,60008494,31.0,38.97999954223633,200,35000,175338,468915,18.92,18.9348,1123579.0
186,60005686,60004588,39.4900016784668,47.900001525878906,4546,13300,1115778,163548,57.88,57.8959,315138.0
186,60008494,60004588,38.97999954223633,47.900001525878906,35000,13300,468915,163548,57.88,57.8959,315138.0
186,60011866,60003760,18.88999938964844,31.0,10100,200,40056,175338,17.12,18.3757,18836019.0
186,60011866,60004588,18.88999938964844,47.900001525878906,10100,13300,40056,163548,57.88,57.8959,315138.0
186,60011866,60008494,18.88999938964844,38.97999954223633,10100,35000,40056,468915,18.92,18.9348,1123579.0
187,60003760,60004588,20.38999938964844,68.5,8695,14200,9523595,104080,72.98,73.6113,234327.0
187,60003760,60008494,20.38999938964844,72.98999786376953,8695,43500,9523595,43500,20.93,37.6075,178190.0
187,60005686,60004588,28.0,68.5,48022,14200,48022,104080,72.98,73.6113,234327.0
187,60005686,60008494,28.0,72.98999786376953,48022,43500,48022,43500,20.93,37.6075,178190.0
187,60011866,60003760,4.510000228881836,20.38999938964844,100,8695,100,9523595,2.14,19.9223,1873120.0
187,60011866,60004588,4.510000228881836,68.5,100,14200,100,104080,72.98,73.6113,234327.0
187,60011866,60008494,4.510000228881836,72.98999786376953,100,43500,100,43500,20.93,37.6075,178190.0
188,60004588,60003760,43.9900016784668,60.20000076293945,43105,20000,159232,294987,33.8,33.8,497277.0
188,60005686,60003760,48.43999862670898,60.20000076293945,1029153,20000,1313055,294987,33.8,33.8,497277.0
